pmid, score, numReaders, cited (altmetric), scopus
23155066,13.296,296,48,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
27273673,14.5,79,30,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
28212402,15.05,34,98,['Biochemistry, Genetics and Molecular Biology', 'Agricultural and Biological Sciences', 'Neuroscience', 'Physical Sciences', 'Life Sciences', 'Computer Science', 'Mathematics', 'Environmental Science']
28130230,10.33,38,25,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
22693216,3,26,3,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
21765097,2,68,9,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
22009675,29.958,268,55,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
26503253,1.5,23,18,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
21546392,3,33,3,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
23193267,2.25,300,15,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
22034521,4,76,12,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
23134687,18.928,11,50,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
22962482,14.78,34,16,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
26755625,14,36,33,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
27342282,26.35,240,154,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
21599881,19.404,35,21,['Biochemistry, Genetics and Molecular Biology', 'Physical Sciences', 'Life Sciences', 'Computer Science']
18801164,0.25,16,3,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
27378302,25.796,7,109,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
23161675,12.006,210,22,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
24574118,12.65,30,67,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
17678535,3,92,3,['Biochemistry, Genetics and Molecular Biology', 'Physical Sciences', 'Life Sciences', 'Computer Science']
20952405,17.088,829,67,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
26481362,1,137,9,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
23178637,24.088,64,75,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
23766288,1.25,45,8,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
19852836,3,25,3,['Biochemistry, Genetics and Molecular Biology', 'Physical Sciences', 'Life Sciences', 'Computer Science']
19906722,5.296,17,3,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
25161256,0.5,14,6,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
24165883,6,246,21,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
24564637,2.75,30,12,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
25712691,2,42,16,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
22121216,3.25,63,6,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
21505035,3,20,3,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
22668788,0.5,60,3,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences', 'Physical Sciences', 'Computer Science', 'Mathematics']
23387468,1.5,26,9,['Biochemistry, Genetics and Molecular Biology', 'Physical Sciences', 'Life Sciences', 'Computer Science']
23895370,0.75,62,6,['Biochemistry, Genetics and Molecular Biology', 'Life Sciences']
